anime_id,Overall,Story,Animation,Sound,Character,Enjoyment,title,genre,aired,episodes,members,popularity,ranked,score,img_url,link
1.0,8.97229916897507,7.977839335180056,8.584487534626039,9.016620498614959,8.590027700831024,8.551246537396121,Cowboy Bebop,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",1998/04/03,26.0,930311.0,39.0,26.0,8.81,https://cdn.myanimelist.net/images/anime/4/19644.jpg,https://myanimelist.net/anime/1/Cowboy_Bebop
5.0,8.261904761904763,6.904761904761905,8.523809523809524,8.261904761904763,7.309523809523809,7.595238095238095,Cowboy Bebop: Tengoku no Tobira,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",2001/09/01,1.0,223199.0,475.0,149.0,8.4,https://cdn.myanimelist.net/images/anime/1439/93480.jpg,https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira
6.0,8.384615384615385,7.653846153846154,6.984615384615385,7.507692307692308,7.869230769230769,7.961538461538462,Trigun,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",1998/04/01,26.0,460146.0,158.0,256.0,8.28,https://cdn.myanimelist.net/images/anime/7/20310.jpg,https://myanimelist.net/anime/6/Trigun
7.0,7.133333333333334,6.766666666666667,7.3,7.266666666666667,6.7,6.9,Witch Hunter Robin,"['Action', 'Magic', 'Police', 'Supernatural', 'Drama', 'Mystery']",2002/07/02,26.0,85182.0,1278.0,2487.0,7.32,https://cdn.myanimelist.net/images/anime/1796/91065.jpg,https://myanimelist.net/anime/7/Witch_Hunter_Robin
8.0,7.0,5.0,4.75,6.25,5.5,5.75,Bouken Ou Beet,"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",2004/09/30,52.0,12319.0,3968.0,3704.0,7.02,https://cdn.myanimelist.net/images/anime/7/21569.jpg,https://myanimelist.net/anime/8/Bouken_Ou_Beet
15.0,8.242424242424242,8.242424242424242,7.696969696969697,8.090909090909092,8.818181818181818,8.515151515151516,Eyeshield 21,"['Action', 'Sports', 'Comedy', 'Shounen']",2005/04/06,145.0,126760.0,888.0,542.0,8.02,https://cdn.myanimelist.net/images/anime/12/66961.jpg,https://myanimelist.net/anime/15/Eyeshield_21
16.0,8.378787878787879,7.893939393939394,7.636363636363637,7.712121212121212,7.924242424242424,7.787878787878788,Hachimitsu to Clover,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",2005/04/15,24.0,186696.0,578.0,436.0,8.11,https://cdn.myanimelist.net/images/anime/11/73923.jpg,https://myanimelist.net/anime/16/Hachimitsu_to_Clover
17.0,8.727272727272727,8.818181818181818,8.0,8.636363636363637,8.090909090909092,9.090909090909092,Hungry Heart: Wild Striker,"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",2002/09/11,52.0,18370.0,3330.0,1273.0,7.65,https://cdn.myanimelist.net/images/anime/12/49655.jpg,https://myanimelist.net/anime/17/Hungry_Heart__Wild_Striker
18.0,7.166666666666667,7.166666666666667,7.666666666666667,8.0,6.833333333333333,7.166666666666667,Initial D Fourth Stage,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",2004/04/17,24.0,87746.0,1228.0,336.0,8.18,https://cdn.myanimelist.net/images/anime/12/43927.jpg,https://myanimelist.net/anime/18/Initial_D_Fourth_Stage
19.0,8.775100401606426,8.74698795180723,7.947791164658635,8.17269076305221,8.779116465863455,8.309236947791165,Monster,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",2004/04/07,74.0,459710.0,159.0,46.0,8.69,https://cdn.myanimelist.net/images/anime/10/18793.jpg,https://myanimelist.net/anime/19/Monster
